mark,name
0,unknown
1,Администратор баз данных
2,Специалист по информационным системам
3,Менеджер продуктов в области информационных технологий
4,Менеджер по информационным технологиям
5,Руководитель проектов в области информационных технологий
6,Руководитель разработки программного обеспечения
7,Технический писатель (специалист по технической документации в области информационных технологий)
8,Системный аналитик
9,Специалист по дизайну графических и пользовательских интерфейсов
10,Системный администратор информационно-коммуникационных систем
11,Специалист по администрированию сетевых устройств информационно-коммуникационных систем
12,Системный программист
13,Менеджер по продажам информационно-коммуникационных систем
14,Программист
15,Инженер-радиоэлектронщик
16,Специалист по информационным ресурсам
17,Архитектор программного обеспечения
18,Специалист по тестированию в области информационных технологий
19,Разработчик Web и мультимедийных приложений
20,Инженер-проектировщик в области связи (телекоммуникаций)
21,Специалист по интеграции прикладных решений
