profession,requirements
1,"Обязанности:  Разработка бэкенда .NET-приложений Покрытие своего кода unit-тестами Анализ и постановка задач Взаимодействие с frontend-командой и с клиентом для выбора оптимальных решений Принятие технических и архитектурных решений Постановка и оценка задач, планирование спринта Подготовка и проведение демо по результатам работы Помощь и развитие разработчиков в команде, code review Согласование сценариев с тестировщиком    Требования:  C#, ASP.NET MVC, WebAPI T-SQL, LINQ2SQL, Entity Framework Git/SVN/TFS Понимание принципов веб-разработки и веб-стандартов Желание профессионально развиваться и изучать новое Опыт в работе с командой как ведущий разработчик Наличие примеров выполненных работ Оконченное высшее образование    Условия работы:  Просторный и комфортный офис Кухня с кофемашиной и печенками Новые книги в нашей библиотеке Поощрение инициативности Полный рабочий день Стабильная зарплата Ежегодный отпуск Официальное трудоустройство Работа как над внешними проектами, так и над нашими внутренними стартапами"
1,"Что мы ожидаем от Вас?  Вы знаете как писать хорошо читаемый код, который легко поддерживать. Готовы следовать гайдам, текущим практикам и принципам. Вы понимаете что такое - код высокого качества. Вам важен командный успех, а не только ваша выполненная задача.    Обязательные требования:  Нужно знать платформу, как iOS взаимодействует с приложением на очень хорошем уровне (Cocoa design patterns and API design). Autolayout - мы не работаем с фреймами в принципе, только autolayout (кроме пары радикальных случаев) Storyboard - мы стараемся убирать в Interface builder как можно больше кода, с этим нужно уметь работать и знать последние тренды Хорошие знания Swift 3 и Objective-C - мы пишем все новые фичи только на Swift, на Objective-C только поддержка, но при этом уровень знаний Objective-C тоже должен быть на уровне Code style  Code review    Будут большим плюсом:  CoreData - основной инструмент управления хранением данных, поэтому опыт работы и понимание основных принципов работы CoreData крайне желателен. Сетевое взаимодействие через вэб сокет. Юнит тестирование различных компонентов приложения.    Нашему сотруднику мы предлагаем:  Трудоустройство согласно ТК РФ; 5/2, гибкое начало рабочего дня; Офис класса А+ в 10 мин ходьбы от ст.м. Новочеркасская; Компенсация обедов; Корпоративный фитнес-центр: групповые занятия, персональные тренировки, секция бокса; Библиотека; ДМС; При желании, можно подключиться к еженедельной игре в футбол, волейбол, баскетбол наших команд. Заработная плата обсуждается индивидуально с каждым кандидатом, у нас нет вилок.    Дополнительные условия для иногородних и иностранных кандидатов:  Предоставление места проживания за счет компании в первый месяц работы (далее - помощь в поиске жилья); Компенсация проезда; Помощь в оформлении документов (для иностранных граждан)."
1,"Обязанности:  разработка ПО в качестве ведущего разработчика; проектирование архитектуры компонентов сервиса, программных интерфейсов и методов интеграции с внешними сервисами, а также определение используемого технологического стека; оптимизация разработанных программных решений; развитие и консультирование команды разработки; постановка, оценка и технический контроль задач разработки.    Требования:  высшее техническое образование; опыт работы в роли архитектора, технического лидера или ведущего разработчика в проектах разработки высокопроизводительных сервисов; опыт работы с базами данных (реляционными и Nosql); знание языков программирования: Python, С#, С++ или Java и др.; хорошее понимание сетевых технологий; опыт разработки под ОС Unix или Linux; широкий кругозор в IT-технологиях.    Условия:  Работа в офисе в Екатеринбурге, предоставляем релокационный пакет. Готовы рассматривать ожидания кандидатов. Условия готовы обсуждать индивидуально."
1,"От middle мы ожидаем опыт работы с Java от двух лет: ты можешь написать многопоточное приложение и грамотно расставляешь блокировки; знаешь как работают хэш-таблицы. Также у тебя есть знания о шаблонах проектирования и ты знаешь, что такое KISS, SOLID и TDD. Ты работал с реляционными и читал про нереляционные базы данных. Приветствуются знания в области функционального программирования и интерес к Scala. Плюсом будет наличие сертификатов о прохождении профильного обучения на Coursera.   Со своей стороны мы предлагаем:  интересные задачи на большом проекте с продвинутыми технологиями полностью оборудованное рабочее место (есть всевозможные гаджеты) удобный график работы официальное трудоустройство с первого рабочего дня офис в центре города, в двух минутах ходьбы от соснового бора зона отдыха на территории офиса всегда вкусный и ароматный свежесваренный кофе :)    Откликайся - давай знакомиться!"
1,"Предстоит делать такую работу:  проводить декомпозицию скоупа задач; взаимодействовать с аналитиками, дизайнерами и тестировщиками; проектировать программный дизайн приложений; писать качественный, промышленный код; писать unit-тесты; нести ответственность; думать.  Требования:  внимательность желание учиться инициативность внимательность к мелочам опыт iOS-разработки от 2 лет Objectiv-C; понимание архитектуры IOS, особенностей и сложностей SDK; понимание принципов работы клиент-серверных приложений (REST, кэширование, очереди запросов); понимание принципов многопоточности; опыт работы с JSON, UIKit, Core Graphics, Core Data, Auto Layout, Core Animation, GCD (блоки и очереди), NSOperation, NSURLSession; опыт работы с базами данных (SQLite, Core Data или другими). CocoaPods; базовые знания систем контроля версий Git; уметь писать поддерживаемый и читабельный код, знать паттерны проектирования. наличие реализованных приложение в AppStore    Желательно:  опыт разработки под другие платформы (Web, Desktop, Android и т.д.).    Мы предлагаем:  Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело. Бесплатные профессиональные курсы, доступные всем сотрудникам офиса. 50% компенсацию курсов английского. 100% компенсацию приобретения профессиональной литературы; возможности профессионального и карьерного роста; потенциал роста заработной платы и выплата премий по результатам работ.    Условия работы:  работа в офисе; гибкий рабочий график; официальное трудоустройство в соответствии с ТК РФ.Вместе с рассказом о себе, присылайте ссылки на ваши работы в AppStore, а также ссылки на профили в GitHub."
0,"Присоединившись к нам в Ваши обязанности будет входить:  Создание, пересоздание и настройка тестовых стендов Поддержка регрессионного интеграционного тестирования, локализация и исправление дефектов. Работы по установке изменений и релизов Анализ дефектов, возникших в зоне ответственности подразделения, разработка мер по недопущению их.    Мы ожидаем, что Вы:   Знаете SQL,PL/SQL. Умеете понять код процедур, функций, имеете навыки оптимизации. Имеете опыт решения проблем производительности БД Oracle Владеете общим пониманием архитектуры экземпляра, назначения процессов Умеете развертывать, настраивать и поддерживать экземпляры БД Oracle У вас есть практический опыт работы с RAC конфигурацией. "
1,"У Вас:   опыт разработки на объектно-ориентированном языке (Java, C++, C#, Python или др.) будет плюсом;   опыт работы с Android окружением также будет плюсом;   желательно знание шаблонов проектирования приложений;   опыт работы с REST API;   желательно знание Linux;   английский уровня intermediate;   дружелюбие (работа в команде);   креативность (поиск новых решений, не бояться сложностей);   ответственность (довести дело до конца);   клиентоориентированность (желание найти решение, которое удовлетворит и клиента, и нас).   Вам в помощь:   команда: дружный коллектив разработчиков, тестировщиков и аналитиков;   роботы: десятки серверов во главе с сервером непрерывной интеграции для автоматизированного тестирования и проверок кода;   обучение за счет средств компании: конференции, семинары, учебные курсы, литература.   Мы предлагаем:   достойный уровень дохода, обсуждается по результатам собеседования;   возможность гибкого графика работы;   работа в команде профессионалов; возможность профессионального обучения за счет компании;   индивидуальное планирование развития карьеры сотрудника;   забота о здоровье наших сотрудников – приоритет нашей социальной программы:   очень хороший ДМС уже после испытательного срока в лучших клиниках города, включая поликлинику, стоматологию, вызов врача на дом, сервисную палату в случае госпитализации, телемедицину;   полис выезжающих зарубеж (покрытие весь мир);   вакцинация от гриппа; полис антиклещ;   подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год;   существенную скидку на КАСКО.     современный и комфортный офис (район ВИЗ), корпоративные вело- и автопарковки; в офисе оборудована душевая кабина, комната активного отдыха (настольный теннис, настольный футбол, тренажеры, массажное кресло); корпоративное кафе, всегда в наличии чай, кофе, вкусное печенье.   Ответственный менеджер: Долгопол Анастасия."
1,"У Вас:   опыт разработки на объектно-ориентированном языке (Java, C++, C#, Python или др.) от 3 лет;   опыт работы с Android окружением от 3 лет;   желательно знание шаблонов проектирования приложений;   опыт работы с REST API;   желательно знание Linux;   английский уровня intermediate;   дружелюбие (работа в команде);   креативность (поиск новых решений, не бояться сложностей);   ответственность (довести дело до конца);   клиентоориентированность (желание найти решение, которое удовлетворит и клиента, и нас).   Вам в помощь:   команда: дружный коллектив разработчиков, тестировщиков и аналитиков;   роботы: десятки серверов во главе с сервером непрерывной интеграции для автоматизированного тестирования и проверок кода;   обучение за счет средств компании: конференции, семинары, учебные курсы, литература.   Мы предлагаем:   достойный уровень дохода, обсуждается по результатам собеседования;   возможность гибкого графика работы;   работа в команде профессионалов; возможность профессионального обучения за счет компании;   индивидуальное планирование развития карьеры сотрудника;   забота о здоровье наших сотрудников – приоритет нашей социальной программы:   очень хороший ДМС уже после испытательного срока в лучших клиниках города, включая поликлинику, стоматологию, вызов врача на дом, сервисную палату в случае госпитализации, телемедицину;   полис выезжающих зарубеж (покрытие весь мир);   вакцинация от гриппа; полис антиклещ;   подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год;   существенную скидку на КАСКО.    современный и комфортный офис (район ВИЗ), корпоративные вело- и автопарковки; в офисе оборудована душевая кабина, комната активного отдыха (настольный теннис, настольный футбол, тренажеры, массажное кресло); корпоративное кафе, всегда в наличии чай, кофе, вкусное печенье.    Ответственный менеджер: Долгопол Анастасия."
1,"Что нужно будет делать:  писать код на Scala и Java; взаимодействовать с командой внедрения и тестирования; изучать и внедрять новые технологи и алгоритмы; оптимизировать и заниматься архитектурной переработкой старого кода; искать и исправлять ошибки в чужом коде.    Итак, если Вы обладаете:   опытом разработки до 1 года на одном из языках: С#, Java или .NET (опыт Scala разработки будет являться cущественным преимуществом);   желанием писать именно на Scala (у нас Scala и немного Java);   опытом работы с базами данных: реляционными и NoSQL;   знанием Английского, достаточным для чтения документации;   высокой обучаемостью, умением быстро вникать в суть, разбираться в новом;     То Вам просто необходимо отправить нам свое резюме!   Также преимуществом для нас является:  опыт работы в Linux; опыт работы с базами данных: реляционными и NoSQL; знание основных принципов многопоточного и распределенного программирования; знание средств коллективной разработки и сборки проектов (GIT, JIRA, Confluence); опыт работы с большими данными; опыт работы в сфере компьютерной лингвистики и поиска.    Мы ценим:  ориентацию на результат и соблюдение стандартов качества; соблюдение сроков выполнения задач; способность писать простой, расширяемый и производительный код; знание новых технологий, выбор оптимального инструмента для решения задач.    Условия работы:  достойный уровень дохода, обсуждается по результатам собеседования; помощь в переезде; возможность гибкого графика работы; работа в команде профессионалов; возможность профессионального обучения за счет компании; индивидуальное планирование развития карьеры сотрудника; забота о здоровье наших сотрудников – приоритет нашей социальной программы:  очень хороший ДМС уже после испытательного срока в лучших клиниках города, включая поликлинику, стоматологию, вызов врача на дом, сервисную палату в случае госпитализации, телемедицину; полис выезжающих за рубеж (покрытие весь мир); подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год; существенную скидку на КАСКО;   уютный офис в Севастополе, в пешей доступности от моря; хорошие условия труда, всегда в наличии чай, кофе, вкусное печенье."
1,"Must Have:  знание Objective-C и Swift опыт коммерческой разработки iOS-приложений не менее трех лет портфолио собственноручно созданных кастомных UI-элементов исключительные познания в том как утсроен UIKit опыт работы в команде    Плюсом будет, если:  у вас есть опыт разработки на других языках (С++, Java, Ruby или Python) или платформах (Android, Windows) у вас есть опыт работы с Rx или RAC вы можете объяснить любому стажёру чем отличается MVP от MVVM вы знаете зачем нужен UICollectionViewLayout    Мы предлагаем:  высокий уровень дохода официальное трудоустройство с первого дня компенсация питания, а также фрукты, йогурты, орехи и другие вкусности в офисе ДМС со стоматологией отличный офис на Петроградской стороне с коллекцией виниловых пластинок :) корпоративные курсы английского языка гибкое начало рабочего дня релокационный пакет для кандидатов из регионов"
7,"- Организация системы обеспечения информационной безопасности компании в соответствии с нормативными документами ЦБ РФ, 152-ФЗ. - Организация мониторинга, обнаружения, учета, реагирования (расследования) инцидентов ИБ. - Организация и координация мероприятий по защите персональных данных при обработке в информационных системах. - Разработка, актуализация внутренних нормативных документов по ИБ. - Организация обучения и повышения осведомленности работников в области ИБ. - Осуществление оценки рисков в области ИБ и составлению моделей угроз и нарушителей ИБ. - Анализ существующей инфраструктуры с целью выявления и устранения уязвимостей и угроз ИБ. - Организация и проведение самооценок, оценок и аудитов ИБ. - Менеджмент проектов в области информационной безопасности (создание комплексных систем защиты информации; внедрение систем информационной безопасности и пр.). - Проведение тендеров и закупок программно-аппаратных комплексов, лицензий на использование программного обеспечения, услуг и других средств обеспечения ИБ. - Организация использования и применения средств криптографической защиты информации.  - Администрирование имеющихся средств ИБ.  Требования: Высшее профильное образование"
1,"Обязанности:  разработка новой функциональности; анализ требований с целью поиска наиболее подходящего технического решения; работа на всех этапах жизненного цикла разработки (анализ, проектирование, внедрение, тестирование, деплоймент, поддержка); проведение код-ревью; работа в тесном контакте с заказчиком.    Требования:  опыт разработки на C# от 2-х лет; знание фреймворка .NET версии 4/4.5; опыт работы с ASP .NET MVC.  Будет плюсом:  опыт разработки на JavaScript;    Мы предлагаем:  расширенный релокационный пакет для нового сотрудника и членов его семьи; оформление в штат согласно законодательству; регулярный пересмотр заработной платы; оплата больничных и отпусков в соответствии с ТК c дополнительной компенсаций до среднего заработка в зависимости от стажа; возможность профессионального и карьерного роста; финансовая поддержка со стороны компании при значимых событиях в жизни сотрудников; бесплатные курсы английского языка; добровольное медицинское страхование, включая стоматологию; корпоративные программы спорта и отдыха"
7,"«Астерит» ищет студентов и выпускников, увлеченных CTF и пентестами. Астерит- региональный лидер по поставке решений для комплексной защиты от информационных угроз, мы обладаем лицензиями ФСТЭК и ФСБ на деятельность по защите информации.  Обязанности:  Проведение тестов на проникновение компьютерных сетей, исследование безопасности веб-приложений, беспроводных сетей и других систем. Подготовка рекомендаций по устранению уязвимостей; Подготовка сред для демонстрации сценариев уязвимостей; Формирование отчетных документов по проектам. Требования:  Понимание природы уязвимостей ПО, методов взлома; Навыки программирования на одном из скриптовых языков (Python, Ruby, PHP и т.п.); Понимание работы сетей на базе TCP/IP, основных сетевых протоколов, веб-протоколов; Плюсом будут:  Знание архитектуры современных информационных систем (инфраструктура, виртуализация, СУБД, бизнес-приложения) Понимание состава и классификаций OWASP TOP 10 Работа с инструментами: OpenVAS, nmap, BurpSuite, ZAP, MSF Условия работы:  Оформление по ТК РФ. Рассмотрим кандидатуры студентов. Уровень з/п зависит от вашего опыта и обсуждается индивидуально. Гибкий подход к рабочему процессу, уникальный профессиональный рост, интересные задачи, регулярное обучение и сертификация. Комфортная среда для сотрудников: в компании есть удобная обеденная зона с современным кухонным оборудованием, где каждый желающий может сварить себе кофе, выпить чашку чая, пообедать."
3,"Основные задачи:  Управление бюджетом, сроками, скоупом, ресурсами и рисками проекта; Координация работы проектной команды (от 10-ти человек); Формирование плана проекта и контроль его исполнения; Координация работы партнеров и контроль исполнения договорных обязательств; Подготовка отчетности по проекту; Организация передачи проекта на поддержку; Анализ и реализация предложений по улучшению процессов внедрения и поддержки проектов.    Наши ожидания:  Высшее профильное образование; Опыт работы в аналогичной должности от 3-х лет; Знание методологии управления проектами (PMI, PMBOK); Понимание архитектуры корпоративных и транзакционных информационных систем; Понимание принципов ведения совместной разработки продуктов; Использование различным методологий внедрения проектов (Waterfall, Agile (SCRUM, TDD), RUP)Использование MS Project для планирования и контроля проекта; Умение налаживать устойчивые хорошие отношения с коллективом и представителями заказчика; Отличные навыки коммуникации; Английский язык на уровне не ниже Intermediate.    Успешному кандидату мы готовы предложить:  Сильная команда, нацеленная на результат; Возможность развития профессиональных качеств, возможность проявить свою инициативу, а также участвовать в крупных внутренних проектах; Официальное оформление в полном соответствии с Трудовым Кодексом РФ; Офис в шаговой доступности м. Красносельская/м. Бауманская (7-10 минут пешком); Корпоративные скидки на продукцию компании; Опция для сотрудников кафетерий льгот, скидки сотрудникам от наших партнеров; Конкурентоспособная, “белая” заработная плата (компенсационный пакет обсуждается индивидуально).    Участвуйте в глобальных, уникальных и инновационных проектах, зачастую не имеющих аналогов в России. Совершайте открытия, получайте бесценный опыт и делайте будущее настоящим вместе с «М.Видео»!"
5,"В нашу команду требуется Ведущий бизнес-аналитик. Обязанности:  Участие в развитие лидирующего продута на рынке ВАТС Выявление и сбор требований (анализ конкурентов, анализ тенденций развития рынка, интервьюирование клиентов и представителей клиентских подразделений); Разработка use case-ов; Разработка функциональных требований; Коммуникация между участниками рабочей группы; Координация бизнес-аналитиков; Приемка разработанного функционала;    Требования:  Высшее техническое образование; Опыт сбора, анализа, описания функциональных и нефункциональных требований; Опыт разработки требований к взаимосвязанным продуктам и интеграционным решениям; Опыт управления проектами разработки ПО с контролем сроков выполнения и качества; Опыт прямо взаимодействия с программистами (согласование требований, постановка задач, прием результатов); Желателен опыт работы в телекоммуникационной отрасли; Опыт участие в pre sale активностях (презентация продуктов, сбор первичных потребностей заказчика); Желателен опыт участия в проектах по разработке ПО для Call Center, SIP-телефонии, АТС;   Коммуникации (умение выстраивать коммуникации с другими подразделениями компании); Опыт работы бизнес - аналитиком, системным аналитиком или менеджером по продуктам от 2 лет; Знание и понимание различных методологий разработки ПО (Waterfall, SCRUM); Личностные качества: технический склад ума, широкий круг интересов в профессиональной области, аналитический склад ума, системность, умение концентрироваться, коммуникабельность, умение самостоятельно планировать свою деятельность и реализовывать планы, вкус к командной работе;    Условия:  Комфортная рабочая атмосфера, дружелюбный коллектив. Работу в дружной и сплоченной команде профессионалов. Сложные и интересные задачи. Конкурентный уровень заработной платы. Оплата медицинского страхования и корпоративной мобильной связи. Полное соблюдение ТК РФ. Офис в шаговой доступности от метро - Калужская."
0,"Мы ищем себе в команду Администратора баз данных PostgreSQL.  Обязанности:  администрирование СУБД PostgreSQL 8-9 (OC Linux) управление безопасностью, мониторинг, оптимизация производительности резервное копирование, обеспечение отказоустойчивости разработка, анализ и оптимизация PL/pgSQL приложений Требования:  высшее образование опыт работы PostgreSQL DBA в крупной компании владение навыками оптимальной настройки БД под существующие аппаратные условия умение организовывать схемы репликаций Standby/Failover умение анализировать логи БД, статистику, своевременно отслеживать lock, тяжелые запросы, узкие места в производительности БД опыт разработки приложений на языке PL/pgSQL Условия:  достойную белую заработную плату + квартальные премии (до 70% от оклада); обеспечение всем необходимым для работы (2 монитора, производительное железо, возможность выбора ОС, коммерческое ПО); гибкий график работы (начало рабочего дня в период с 7.00 до 11.00); комфортную рабочую атмосферу, дружелюбный коллектив; изучение и использование передовых технологий; профессиональный и карьерный рост; обучение и посещение конференций за счет компании; корпоративный волейбол, а также настольный футбол, шахматы и книги в офисе; бесплатные завтраки, фрукты, чай и кофе на кухне; полное соблюдение ТК РФ; ДМС; офис в 5 мин. ходьбы от ст. м. Калужская."
