profession,requirements
0,"Сопровождение информационных систем на базе СУБД Oracle, пакета OracleE-BusinessSuite Решение инцидентов и аварийных ситуаций, связанных с СУБД Oracle Мониторинг и оптимизация производительности баз данныхОпыт работы в системном интеграторе или на стороне заказчика: в крупных гос структурах по поддержке СУБД Oracle E business Suite."
0,"- Осуществление администрирования и поддержки работы баз данных; - Освоение и внедрение новых информационных технологий, повышение качества эксплуатации БД; - Реализация стратегии резервного копирования и восстановления БД; - Управление баз данных (включая обеспечение сохранности, доступности и оптимальной производительности); - Консультация и осуществление поддержки пользователей БД; - Анализ требований пользователей к ПО и БД; - Администрирование БД, сервера БД и 1С; - Взаимодействие с разработчиками БД для устранения проблем функционирования.  Требования.- Опыт администрирования и работы с SQL Server 2005\2008/2012 не менее 5-и лет; - Опыт архитектора БД не менее 4-х лет; - Опыт оптимизации чужого кода, выявление узких мест в системе; - Опыт составления и оптимизации SQL-запросов. Навыки применения аналитических функций, различных типов подзапросов, курсорных выражений, иерархических запросов; - Опыт разработки серверного кода на языке TSQL. Опыт использования стандартных SQL-пакетов, массовой обработки данных. Пользования ПК и прикладных программ; - Опыт создания и внедрения технологии резервного копирования, зеркалирования, репликации данных, миграция данных; - Знание языков программирования: Visual Basic, T-SQL; - Расписание SQL Agent, планирование заданий, оценка выполнения; - Использование систем мониторинга производительности; - Работа с системами резервного копирования; - Анализ запросов, план выполнения, проектирование индексов; - Опыт работы с большими объёмами данных; - Опыт работы с SQL Profiler."
0,"Сопровождение БД Access+MSSQL.Высшее или среднее профессиональное. Знание запросов SQL, Microsoft SQL Server Management Studio, MS Access. Адекватность, усидчивость, готовность обучаться."
0,"• Администрирование и сопровождение БД MS SQL; • Резервное копирование и восстановление; • Оптимизация запросов.OОпыт работы администратором БД от 3 лет; oОпыт работы с OLAP, SSIS; oОпыт построения отказоустойчивых конфигураций; oОпыт работы с MDW, QueryStore, SCOM; oЧтение и понимание английской документации; oНаличие профессиональных сертификатов будет преимуществом"
0,"Доработка и поддержка корпоративного хранилища данных; Cоздание и редактирование решений служб SSIS / SSAS / SSRS; Написание и оптимизация запросов / хранимых процедур на T-SQL.Знание СУБД MS SQL SERVER; Опыт работы с службами SSIS, SSAS, Reporting Services (SSRS); Знание методологии проектирование баз данных, хранилищ данных, опыт работы с БД от 1 Тб и выше, хранимых процедур, триггеры, хранилища данных; Желательно знать: С#, .NET, знание модели данных КХД data vault 2.0, умение анализировать планы выполнения запросов, поиск узких мест, рефакторинг существующего кода, навыки работы с системами контроля версий (TFS)."
0,"В системный интегратор для работы с крупной госкомпанией на постоянный контракт требуется Ведущий инженер по OEBS.  Обязанности: Работа в группе поддержки на проекте по оказанию услуг по эксплуатации и технического обслуживания для крупного российского заказчика федерального уровня Сопровождение информационных систем на базе СУБД Oracle, пакета OracleE-BusinessSuite Решение инцидентов и аварийных ситуаций, связанных с СУБД Oracle, OracleE-BusinessSuite Решение задач администрирования баз данных Анализ и оптимизация производительности баз данных и запросов Мониторинг производительности и доступности Проведение регламентного технического обслуживания СУБД и программного обеспечения по существующим проектам Взаимодействие с разработчиками и поставщиками информационных систем в части СУБД и системного ПО, для описания, устранения дефектов и установки обновлений.Знания СУБД Oracle, а также пакета Oracle E-Business Suite Опыт работы от 3 лет в должности администратора СУБД, специалиста по Oracle E-Business Suite или инженера техподдержки Знание теории СУБД Опыт работы с виртуальными средами Опыт работы с Госзаказчиком Готовность к постоянному профессиональному развитию и сертификации Грамотная речь Умение общаться с клиентом Ответственность Стрессоустойчивость"
0,"Проектирование и разработка решений на основе существующей платформы Magic XPA (обучение в процессе работы); Разработка новых, корректировка и оптимизация имеющихся запросов на SQL, хранимых процедур, триггеров и пользовательских функций для MS SQL Server; Сопровождение и администрирование СУБД.Высшее техническое образование (желательно) Опыт работы программистом ERP системы от 2-х лет Уверенное знание SQL Понимание принципов построения реляционных баз данных Опыт работы с СУБД Желательно: знание XML, .NET, опыт работы DBA Владение английским языком не ниже intermediate"
0,"—Поддержка системного и прикладного ПО процессингового центра (AIX\Linux, Oracle, Smart Vista). —Внедрение новых cервисов процессингового центра, включая разработку сервисного и вспомогательного ПО. —Администрирование прикладного ПО процессингового центра, включая приложения на базе Oracle WebLogic. —Поддержка и доработка отчетов и клиентских рабочих мест (Oracle SQL \ PL-SQL, Oracle WebLogic). —Сопровождение веб-сервисов для Oracle WebLogic.  Дополнительно: —Разработка и сопровождение отдельных модулей на языке программирования Java; —Разработка и сопровождение скриптов (bash, perl).—Образование: высшее техническое (предпочтительно в области информационных технологий); —Опыт разработки \ сопровождения ПО для Oracle WebLogic; —Базовое знание SQL \ PL-SQL; —Базовые знания в области администрирования ОС и СУБД.  Дополнительно: —Опыт работы с системой построения отчетов (предпочтительно Jasper). —Умение работать в Unix \ Linux на уровне пользователя и писать скрипты для Linux. —Опыт работы с ПО обслуживания банковских карт; —Опыт работы в Банке \ в процессинговом центре."
0,"• Разработка архитектуры БД по бизнес-требованиям • Разработка с нуля новых БД для новых сервисов • Оптимизация текущей структуры БД • Оптимизация производительности БД • Функциональное тестирование разработанного функционала • Аудит кода других разработчиков • Привнесение лучших практик разработки БД • Апробация различных технологий разработки БД • Проектирование задач вместе с аналитиками и программистами• Опыт разработки крупных высоконагруженных систем • Владение в совершенстве SQL, знакомство с Transact-SQL • Опыт оптимизации запросов, работа с большими объемами данных • Знания о работе реляционных баз данных: модели данных, принципы работы транзакций (уровни изоляции), индексирование данных • Навыки проектирования архитектуры БД • Представление об администрировании БД MS SQL • Умение разбираться в чужом коде • Умение работать в команде  Дополнительные навыки: • Опыт работы с другими реляционными СУБД (Oracle, MySql) • Владение навыками работы с системами контроля версий • Знакомство с практиками версионирования БД • Работа с NoSQL-хранилищами данных • Знакомство с методологиями Agile • Владение английским на техническом уровне"
0,"Обеспечение работоспособности учетных систем в Компании на базе платформы 1С:Предприятие. - Поддержка работоспособности учетных систем на базе 1С:Предприятие - Консультация пользователей по вопросам эффективной эксплуатации и сокращения количества ошибок при работе с системами на базе 1С:Предприятие - Устранение сбоев и/или снижение производительности систем на базе 1С:Предприятие - Тестирование и эксплуатация система на базе 1С:Предприятие- Высшее образование (техническое – желательно) - Опыт работы в качестве администратора или специалиста по поддержке 1С от 2-х лет - Знание 1С Предприятие 8.х на уровне администратора системы. - Знание основных механизмов платформы 1С Предприятие 8. - Понимание механизмов работы распределенных информационных баз и конвертации данных. - Понимание принципов работы платформы 1С Предприятие 8 в клиент-серверном режиме. - Опыт написания простейших запросов на языке 1С и SQL (желательно). - Опыт установки драйверов и настройки торгового оборудования (фискальный регистратор, терминал эквайринга, сканер штрих-кодов) в системах на базе 1С:Предприятие (желательно)."
